TimePoint,30 pre-drug_COLOR
25.3,0.08807657
25.4,0.08850683
25.5,0.07797311
25.6,0.06792923
25.7,0.04453035
25.8,0.03218461
25.9,0.03141906
26.0,0.04131883
26.1,0.02593988
26.2,0.005010528
26.3,-0.01005587
26.4,-0.01310751
26.5,-0.02226238
26.6,-0.02451136
26.7,-0.02780638
26.8,-0.03411942
26.9,-0.04423909
27.0,-0.0524932
27.1,-0.06263248
27.2,-0.05692527
27.3,-0.05579471
27.4,-0.04718699
27.5,-0.05645531
27.6,-0.06801773
27.7,-0.08063486
27.8,-0.1051126
27.9,-0.1173229
28.0,-0.1223816
28.1,-0.1044545
28.2,-0.08534584
28.3,-0.0839996
28.4,-0.1008926
28.5,-0.118144
28.6,-0.1268269
28.7,-0.1305725
28.8,-0.1346389
28.9,-0.1185339
29.0,-0.09779771
29.1,-0.08962771
29.2,-0.09065256
29.3,-0.1020534
29.4,-0.1114877
29.5,-0.1145121
29.6,-0.1176352
29.7,-0.1075628
29.8,-0.09914273
29.9,-0.09389066
